seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
115,3,44,156,4,3,17.24203896522522
115,4,94,106,4,2,19.210264682769775
116,1,67,117,21,2,11.927058219909668
116,2,87,105,27,1,10.8528413772583
116,3,45,155,27,3,17.272858142852783
116,4,21,131,41,2,22.789817333221436
117,1,34,102,44,1,10.410930395126343
117,2,7,129,17,1,13.279658794403076
117,3,34,166,8,3,18.278881549835205
117,4,72,128,4,2,20.920037508010864
118,1,53,115,23,1,11.7089102268219
118,2,91,109,3,1,11.220738649368286
118,3,99,101,23,1,11.186117887496948
118,4,95,105,23,2,18.869709014892578
119,1,36,96,-17,1,9.809069871902466
119,2,98,102,33,2,10.479190587997437
119,3,102,98,15,2,10.828108310699463
119,4,104,96,43,2,14.757732391357422
120,1,74,122,9,1,12.429291486740112
120,2,90,106,25,1,10.93911862373352
120,3,45,155,38,4,17.432811737060547
120,4,75,125,38,3,23.90919327735901
121,1,-35,103,-33,0,10.510022163391113
121,2,56,128,6,1,13.16384506225586
121,3,74,126,4,2,14.022040843963623
121,4,86,106,26,1,20.97108554840088
122,1,56,144,45,4,14.645359516143799
122,2,58,142,45,3,14.521592140197754
122,3,96,104,5,2,11.32371735572815
122,4,98,102,37,2,16.536717414855957
123,1,68,112,43,2,11.43277883529663
123,2,93,107,2,1,11.109941005706787
123,3,77,123,24,3,13.856992483139038
123,4,87,105,-2,1,19.02148199081421
124,1,-25,153,9,2,15.54910159111023
124,2,59,141,11,2,14.432013988494873
124,3,99,101,35,2,11.350020170211792
124,4,107,93,35,1,15.67718768119812
125,1,74,126,6,2,12.837955951690674
125,2,88,112,14,2,11.61908769607544
125,3,94,106,6,1,12.197531461715698
125,4,97,103,23,2,22.89102053642273
126,1,-36,116,-30,1,11.828987121582031
126,2,15,153,9,2,15.652607917785645
126,3,71,129,9,2,14.027525663375854
126,4,57,143,9,2,21.200345993041992
127,1,65,135,22,3,13.73204779624939
127,2,127,73,0,1,7.591068983078003
127,3,129,71,28,2,8.15273928642273
127,4,135,65,20,1,12.999294519424438
128,1,-116,140,34,1,14.2513267993927
128,2,72,112,22,1,11.539912462234497
128,3,90,110,20,1,12.76845407485962
128,4,94,106,20,1,20.631152153015137
129,1,-55,107,-37,0,10.931005239486694
129,2,87,97,37,1,10.016137599945068
129,3,85,115,3,1,12.890079259872437
129,4,87,113,5,1,20.052412748336792
130,1,55,85,-15,0,8.700840711593628
130,2,54,126,9,1,12.990164756774902
130,3,52,148,25,2,16.16085910797119
130,4,76,124,5,2,20.780501127243042
131,1,58,142,19,3,14.450341939926147
131,2,84,116,1,1,11.919991493225098
131,3,110,90,1,1,10.110881328582764
131,4,102,98,1,1,16.516202449798584
132,1,3,181,12,2,18.397136449813843
132,2,0,200,5,4,20.550254344940186
132,3,-4,200,5,3,22.17637038230896
132,4,32,168,33,3,27.3613224029541
133,1,95,105,38,2,10.710548400878906
133,2,-5,97,-27,0,9.990103721618652
133,3,85,115,16,2,12.738919734954834
133,4,81,119,16,2,19.471047401428223
134,1,-59,123,36,2,12.51885724067688
134,2,65,131,0,1,13.42959189414978
134,3,55,145,36,4,15.930055856704712
134,4,69,131,36,3,21.261061668395996
135,1,121,79,14,1,8.077701807022095
135,2,127,73,12,1,7.56747031211853
135,3,115,73,-3,0,8.15808391571045
135,4,127,73,12,1,12.710645914077759
136,1,19,157,-6,2,15.976948738098145
136,2,-45,141,40,3,14.489709377288818
136,3,17,155,40,2,16.821049213409424
136,4,47,153,26,3,21.637996196746826
137,1,75,101,35,1,10.309113502502441
137,2,114,86,44,1,8.892379760742188
137,3,114,86,44,1,9.492427349090576
137,4,114,86,44,1,13.469570636749268
138,1,-55,107,-37,0,10.9152991771698
138,2,113,87,40,1,8.989317178726196
138,3,117,83,40,1,9.331477642059326
138,4,113,87,40,1,14.18674921989441
139,1,93,91,-4,1,9.30777883529663
139,2,118,82,5,1,8.46716022491455
139,3,131,69,24,1,7.739013433456421
139,4,131,69,1,0,11.519001245498657
140,1,78,122,24,2,12.441982984542847
140,2,83,117,7,1,12.028000116348267
140,3,84,116,4,1,12.846289873123169
140,4,62,138,24,3,22.569248914718628
141,1,62,114,48,2,11.645699977874756
141,2,107,93,29,1,9.631118059158325
141,3,90,110,14,1,12.246772766113281
141,4,90,110,14,1,18.622204542160034
142,1,35,165,17,4,16.771958589553833
142,2,59,141,17,2,14.44974946975708
142,3,45,155,5,3,17.170837879180908
142,4,65,135,17,2,20.701608180999756
143,1,84,116,24,2,11.831761360168457
143,2,106,94,20,2,9.674401998519897
143,3,112,88,12,1,9.676402807235718
143,4,124,76,30,1,12.46185851097107
144,1,98,102,7,1,10.401883602142334
144,2,68,132,1,2,13.582881927490234
144,3,94,94,-3,1,10.62022590637207
144,4,108,92,19,1,15.11919355392456
145,1,79,121,29,2,12.330264806747437
145,2,53,147,17,2,15.050191402435303
145,3,99,101,27,1,11.298018455505371
145,4,59,141,35,2,20.92677116394043
146,1,-2,126,-19,1,12.8368501663208
146,2,12,188,3,3,19.248859882354736
146,3,54,146,29,3,16.348857641220093
146,4,74,126,3,1,21.609482288360596
147,1,94,106,5,1,10.81894564628601
147,2,-15,115,40,1,11.806968688964844
147,3,96,104,7,1,11.419023513793945
147,4,98,102,3,1,16.30443787574768
148,1,27,105,42,1,10.7077054977417
148,2,107,93,48,2,9.630568027496338
148,3,119,81,4,1,9.11804485321045
148,4,104,96,31,1,14.929016590118408
149,1,79,101,-5,1,10.310853242874146
149,2,51,149,17,3,15.268954038619995
149,3,101,99,21,2,11.08362102508545
149,4,78,122,12,2,18.761558771133423
150,1,-33,121,45,2,12.336483240127563
150,2,83,117,5,3,12.051964282989502
150,3,89,111,13,1,12.412854433059692
150,4,75,125,13,2,19.19910192489624
151,1,10,94,-24,0,9.598798751831055
151,2,130,70,0,0,7.2282092571258545
151,3,134,66,4,0,7.329681634902954
151,4,142,58,12,0,9.78010606765747
152,1,-31,143,19,2,14.591740131378174
152,2,-19,163,19,2,16.673213958740234
152,3,71,129,19,2,14.15268874168396
152,4,71,129,19,2,19.91758394241333
153,1,58,114,23,1,11.60960054397583
153,2,98,102,23,1,10.490022897720337
153,3,114,86,33,1,9.746417760848999
153,4,114,86,33,1,15.310240507125854
154,1,-104,140,31,1,14.241120100021362
154,2,72,124,-1,1,12.771723747253418
154,3,76,124,3,1,13.700995922088623
154,4,107,93,36,1,16.51555824279785
155,1,-114,162,35,2,16.458100080490112
155,2,-123,143,32,1,14.730904579162598
155,3,33,163,0,2,17.961567401885986
155,4,22,154,35,2,25.57033634185791
156,1,66,134,25,3,13.632392406463623
156,2,62,138,17,2,14.111092329025269
156,3,76,124,47,2,13.248110294342041
156,4,80,120,47,2,17.459307193756104
157,1,99,101,29,1,10.311651945114136
157,2,77,123,7,1,12.59172248840332
157,3,123,77,39,1,8.579089403152466
157,4,113,87,39,1,13.558621644973755
158,1,83,117,36,2,11.930846214294434
158,2,87,113,6,1,11.622613191604614
158,3,87,113,6,1,12.32841682434082
158,4,109,91,2,1,14.62517523765564
159,1,-4,204,2,5,20.698051691055298
159,2,4,196,2,3,19.99579954147339
159,3,50,150,32,3,16.61854076385498
159,4,58,142,2,2,21.241779804229736
160,1,70,114,-4,1,11.617815971374512
160,2,-10,98,-28,0,10.139823913574219
160,3,92,108,0,1,12.207866430282593
160,4,84,116,0,2,23.12843346595764
161,1,82,118,36,3,12.017829418182373
161,2,59,109,29,1,11.229753494262695
161,3,88,112,32,2,12.519819498062134
161,4,59,109,29,1,17.77251696586609
162,1,12,140,38,2,14.233250856399536
162,2,50,150,14,3,15.319968700408936
162,3,106,94,34,1,10.348912954330444
162,4,113,87,19,1,13.216317892074585
163,1,-70,110,-40,0,11.226287603378296
163,2,45,131,5,1,13.458929300308228
163,3,5,195,33,4,21.140775203704834
163,4,-2,186,38,4,29.859966278076172
164,1,65,135,18,2,13.732467412948608
164,2,44,104,39,1,10.730577230453491
164,3,56,136,39,2,14.81967043876648
164,4,54,126,9,1,19.691637754440308
165,1,74,126,13,3,12.821983575820923
165,2,114,86,15,1,8.898008584976196
165,3,118,82,19,1,9.230034589767456
165,4,124,76,31,1,13.586727380752563
166,1,36,152,-3,2,15.468029975891113
166,2,76,124,19,2,12.803330659866333
166,3,78,122,19,2,13.833719253540039
166,4,54,146,19,3,26.580185413360596
167,1,65,83,-13,0,8.490124940872192
167,2,115,85,6,2,8.801957368850708
167,3,111,89,20,1,9.688945293426514
167,4,111,89,20,2,14.759844064712524
168,1,42,106,37,1,10.821577548980713
168,2,90,110,19,1,11.298346757888794
168,3,72,100,37,1,10.900943756103516
168,4,72,100,37,1,15.19917631149292
